nCount_RNA,nFeature_RNA,percent.mt,cellType
10443,2988,7.29675380637748,Limbal fibroblasts
20387,3756,7.09766027370383,Corneal wing cells
12758,3015,4.5304906725192,Corneal stroma
26829,4508,9.26236535092624,Superficial conjunctiva epithelium
17946,3795,8.57015490917196,Basal conjuctiva epithelium
127799,8408,9.35844568423853,Corneal basal and suprabasal cells
9938,3094,3.97464278526867,Corneal stroma keratocytes
5942,1912,9.74419387411646,Basal conjuctiva epithelium
5297,1459,6.06003398149896,Immune cells I
31320,4604,6.13665389527459,Corneal wing cells
18858,3535,9.96394103298335,Basal conjuctiva epithelium
8747,2652,9.7404824511261,Basal conjuctiva epithelium
2985,1196,3.31658291457286,Limbal stroma
4843,1844,5.10014453850919,Corneal stroma keratocytes
17006,3516,3.19887098671057,Corneal stroma
17548,3817,9.55094597674949,Corneal basal and suprabasal cells
6033,1968,5.42018896071606,Corneal stroma keratocytes
21212,3815,9.07505185743918,Corneal epithelial superficial cells
26137,4948,4.86283812220224,Limbal fibroblasts
16570,3576,7.01267350633675,Basal conjuctiva epithelium
3907,1712,9.00947018172511,Corneal basal and suprabasal cells
20677,3496,1.22358175750834,Basal conjuctiva epithelium
18177,3690,5.63349287561204,Corneal stroma keratocytes
17625,3984,9.15177304964539,Corneal basal and suprabasal cells
15970,2883,9.70569818409518,Basal conjuctiva epithelium
6529,2309,5.05437279828458,Corneal stroma keratocytes
25749,4482,6.43131772107655,Corneal wing cells
23907,4479,8.0436692182206,Corneal wing cells
23933,4491,8.16028078385493,Corneal basal and suprabasal cells
8570,2244,9.38156359393232,Basal conjuctiva epithelium
15976,3622,7.64897346019028,Corneal basal and suprabasal cells
24533,4509,4.00277177679045,Corneal stroma keratocytes
5478,1814,9.41949616648412,Basal conjuctiva epithelium
28025,4552,9.07047279214987,Corneal wing cells
55783,7030,9.4975171647276,Corneal basal and suprabasal cells
13501,3075,4.35523294570773,Corneal stroma
6679,2231,7.38134451265159,Corneal stroma keratocytes
10898,2732,2.45916681959993,Corneal stroma
3827,1020,9.79879801411027,Modulated corneal endothelial cells
19725,4058,7.69074778200254,Transit amplifying cells
19136,4051,6.72554347826087,Corneal epithelial superficial cells
26058,4689,4.37869368332182,Corneal stroma keratocytes
14131,2452,6.05052720968084,Corneal wing cells
7781,2057,4.29250738979566,Corneal stroma keratocytes
23573,4191,7.93704662113435,Transit amplifying cells
3295,1381,6.4339908952959,Red blood cells
