nCount_RNA,nFeature_RNA,percent.mt,cellType
45577,6674,9.83390745332075,Corneal epithelium
1141,644,8.15074496056091,Conjuctival epithelium
7591,2271,8.00948491634831,Ocular epithelium
15143,3207,9.09331044046754,Corneal epithelium
1569,636,11.7909496494583,Limbal epithelium
1682,793,2.14030915576694,Corneal epithelium
2013,925,1.4903129657228,Conjuctival epithelium
7139,2189,11.4301722930382,Ocular epithelium
1024,602,12.01171875,Corneal epithelium
9945,2714,7.44092508798391,Ocular epithelium
9869,2628,7.92380180362752,Ocular epithelium
8619,2516,10.349228448776,Ocular epithelium
9348,2245,11.5532734274711,Corneal epithelium
1108,539,11.7328519855596,Limbal epithelium
16657,4135,13.123611694783,Corneal epithelium
4861,1961,1.13145443324419,Conjuctival epithelium
3776,1204,1.11228813559322,Corneal epithelium
9900,2625,8.16161616161616,Ocular epithelium
5276,2529,6.00833965125095,Ocular epithelium
11200,2935,7.16964285714286,Corneal epithelium
9786,2576,5.63049254036379,Ocular epithelium
4990,1786,10.1202404809619,Ocular epithelium
11711,2885,9.97352916061822,Corneal epithelium
7561,2346,9.56222721862188,Ocular epithelium
5963,1990,11.9570685896361,Ocular epithelium
10140,2730,8.87573964497041,Ocular epithelium
11082,3091,8.90633459664321,Ocular epithelium
5390,2202,9.81447124304267,Ocular epithelium
5833,1898,10.1834390536602,Ocular epithelium
1633,877,10.5939987752603,Conjuctival epithelium
5363,1641,1.21200820436323,Corneal epithelium
85026,8231,10.1227859713499,Corneal epithelium
1400,584,14.9285714285714,Corneal epithelium
1170,546,13.3333333333333,Limbal epithelium
1200,632,12.0833333333333,Conjuctival epithelium
6457,2033,11.2436115843271,Ocular epithelium
9220,2713,9.7939262472885,Ocular epithelium
14602,3513,7.23188604300781,Ocular epithelium
1255,677,4.62151394422311,Conjuctival epithelium
7594,2247,12.2991835659731,Ocular epithelium
3433,1220,9.03000291290417,Ocular epithelium
8123,2303,9.19610981164594,Ocular epithelium
5334,1856,14.7356580427447,Ocular epithelium
2134,929,4.49859418931584,Corneal epithelium
6475,1842,13.7606177606178,Ocular epithelium
3962,1189,1.21150933871782,Ocular epithelium
15185,3509,14.9687191307211,Corneal epithelium
1052,589,12.1673003802281,Conjuctival epithelium
1139,620,11.5891132572432,Corneal epithelium
1196,599,6.77257525083612,Corneal epithelium
6894,2124,12.6921961125616,Ocular epithelium
10831,2966,7.34004247068599,Corneal epithelium
10512,2858,14.041095890411,Corneal epithelium
27204,5357,8.78179679458903,Ocular epithelium
9280,2682,7.44612068965517,Ocular epithelium
2810,1116,2.59786476868327,Corneal epithelium
10345,2880,6.68922184630256,Ocular epithelium
8343,2540,8.8697111350833,Limbal epithelium
2163,974,1.94174757281553,Conjuctival epithelium
8823,2451,6.02969511504024,Corneal epithelium
1182,568,10.6598984771574,Corneal epithelium
6803,2142,11.9800088196384,Ocular epithelium
29228,5215,9.94594224716026,Corneal epithelium
9825,2829,8.75318066157761,Corneal epithelium
12089,4046,7.23798494499131,Conjuctival epithelium
3872,1727,13.5588842975207,Ocular epithelium
4023,1355,2.01342281879195,Conjuctival epithelium
1618,920,6.24227441285538,Ocular epithelium
1801,925,14.2143253747918,Conjuctival epithelium
3932,1528,5.28992878942014,Ocular epithelium
4723,1563,2.24433622697438,Limbal epithelium
2183,1075,4.3518094365552,Conjuctival epithelium
1284,779,5.45171339563863,Conjuctival epithelium
2864,1188,2.2695530726257,Ocular epithelium
3511,1462,2.13614354884648,Conjuctival epithelium
8818,2548,8.38058516670447,Corneal epithelium
7234,2291,7.61680951064418,Ocular epithelium
5762,2187,12.912183269698,Ocular epithelium
35460,5505,6.99379582628314,Conjuctival epithelium
2663,1627,6.98460383026662,Conjuctival epithelium
1468,903,7.15258855585831,Ocular epithelium
9076,2674,6.75407668576465,Ocular epithelium
4490,1790,8.15144766146993,Limbal epithelium
5108,2112,12.9992169146437,Ocular epithelium
4781,1972,6.48399916335495,Ocular epithelium
5442,2076,12.2932745314223,Ocular epithelium
1150,753,3.82608695652174,Conjuctival epithelium
6424,2980,7.78331257783313,Corneal epithelium
2206,939,2.26654578422484,Conjuctival epithelium
1597,900,6.95053224796493,Conjuctival epithelium
2592,1438,11.6898148148148,Conjuctival epithelium
13318,3326,9.52845772638534,Ocular epithelium
1771,864,6.04178430265387,Ocular epithelium
2588,1082,6.33693972179289,Conjuctival epithelium
6090,1991,2.75862068965517,Conjuctival epithelium
1831,918,13.1622064445658,Conjuctival epithelium
10397,2921,6.04982206405694,Ocular epithelium
1656,858,4.52898550724638,Ocular epithelium
2977,1121,3.86294927779644,Corneal epithelium
1782,975,8.86644219977553,Corneal epithelium
39629,6362,6.90655832849681,Corneal epithelium
8968,2707,7.4264049955397,Ocular epithelium
1890,978,4.28571428571429,Conjuctival epithelium
11134,2948,6.96066103826118,Ocular epithelium
8080,2473,8.91089108910891,Ocular epithelium
11325,2947,11.7704194260486,Corneal epithelium
1815,956,4.90358126721763,Conjuctival epithelium
3970,1838,5.74307304785894,Conjuctival epithelium
1456,773,5.1510989010989,Conjuctival epithelium
7657,2493,9.25950111009534,Ocular epithelium
1740,838,4.6551724137931,Conjuctival epithelium
12334,3292,9.42922004215988,Corneal epithelium
6491,2206,10.7379448467108,Limbal epithelium
10389,2762,8.94215035133314,Ocular epithelium
1504,857,3.8563829787234,Limbal epithelium
8410,2612,8.59690844233056,Ocular epithelium
2544,1251,8.56918238993711,Ocular epithelium
11283,2872,7.94115040326154,Limbal epithelium
4624,1602,0.908304498269896,Ocular epithelium
36649,6791,6.32213702965975,Conjuctival epithelium
1460,760,3.56164383561644,Conjuctival epithelium
5730,2850,4.88656195462478,Ocular epithelium
17222,4083,3.74520961560794,Ocular epithelium
